,0,1,2,3,4,5,6,7,8,9,10
2017/12/3,0.769279262,-0.238950278,-2.153429164,3.082637243,-0.061937959,0.079287547,-0.534446162,-0.759690809,-0.390669228,-0.120043124,0.205351327
2017/12/4,0.873741838,-0.076154868,-2.905818633,5.195619741,-0.041582696,-0.219998783,-0.386399038,-0.977458497,4.430489574,0.02330303,0.571851024
2017/12/5,0.850423452,-0.725787738,-3.364988397,1.662599183,-0.056089367,0.000780359,-0.641191827,-0.67938383,-4.4467338,0.180264659,0.58674459
2017/12/6,1.018174561,-1.715671471,-2.239157052,-0.433309037,-0.083780155,-0.077245961,-0.766097944,-0.861308072,0.282325357,0.135891405,0.535762997
2017/12/7,0.893844181,-0.343632821,-3.075121592,-1.691620363,-0.060074127,-0.136845575,-0.108705039,-0.572662267,3.041318737,0.06403678,0.329339507
2017/12/8,0.411823212,-0.298871204,-4.401997003,-0.222834599,-0.041347159,-0.10158812,-0.425681477,-0.576732463,2.375856629,0.027169566,0.651647517
2017/12/9,0.522450147,0.23183223,-3.187790929,8.639206534,-0.065089013,-0.186385347,-1.151392943,-0.868014673,3.926271335,-0.000758143,-1.354927602
2017/12/10,0.547189464,-0.466919276,-4.827549279,-1.166428784,-0.204196362,-0.240145373,-0.976126853,-0.55015291,2.75666346,0.057952591,-0.224796296
2017/12/11,0.035405482,-0.151391479,-3.262006459,-0.511277816,-0.205211856,-0.222742419,-1.049406643,-1.206222512,-3.164501005,-0.123233357,-0.687805326
2017/12/12,0.392209137,-0.139883398,-4.140883584,1.977263289,-0.048510533,-0.174037983,-1.502841356,-0.897263765,-5.187151483,0.05753566,-0.852989211
2017/12/13,0.275893709,0.448830387,-2.803499333,-0.413541835,-0.048467688,-0.256368973,-1.267398666,-3.309433647,-10.96322131,-0.194103792,-0.687022369
2017/12/14,0.667149623,-0.194336202,-4.198325991,3.926307798,-0.051723619,-0.24678609,-1.508969876,-0.81606408,-10.01572557,0.076677038,-0.921419936
2017/12/15,0.502831791,0.577936275,-2.656970722,3.418015817,-0.075078219,-0.141481318,-0.960988663,-1.513737891,-7.515040234,-0.727599351,-0.824048369
2017/12/16,0.82875459,-0.046369656,-2.211238119,-0.021146608,-0.07670019,-0.254749298,-0.983732535,-1.529671784,-7.475917098,0.032784449,-1.191910421
2017/12/17,0.337562684,-2.705443604,-2.037776664,1.08698064,-0.081160864,-0.311790943,-0.920943433,-1.367950717,-14.71005768,0.080742043,-0.737471682
2017/12/18,-0.879316213,-0.269709082,-3.7751672,3.735281186,-0.983982541,-0.211195335,-0.338521497,-1.859156423,-15.20049327,0.070474199,-0.850521575
2017/12/19,-1.332457006,-0.010174596,-4.173311673,4.532265624,-0.269345744,-0.306519521,-1.624549463,-1.44540412,-13.76372339,0.073402915,-0.536997617
2017/12/20,0.585669286,-0.737313415,-6.088539507,1.621392304,-0.035912172,-0.084415999,-0.813701029,-1.836305592,-18.02728717,0.096911371,-0.282473642
2017/12/21,-0.468839309,-0.113483027,-3.169714673,-3.196180252,-0.027328119,-0.261411056,0.164779374,-1.192511506,-14.77231035,0.053401445,-1.154707315
2017/12/22,-0.220908661,-0.134787167,-2.795941832,-0.085515605,-0.457174088,-0.26617507,-0.628277688,-1.096026044,-15.38079111,0.080204234,-0.742703537
2017/12/23,-1.101147139,0.027361421,-4.348528761,-0.077907145,-0.024179916,-0.322932132,-0.975865095,-1.093021525,-11.75245688,0.044773185,-0.408963745
2017/12/24,-1.597848956,-0.402286089,-2.129926986,1.489340893,-0.742565014,-0.343276664,-0.973228629,-0.74030476,-11.82868943,0.050293178,-0.445698228
2017/12/25,0.431976407,0.165215876,-9.015074833,7.624854727,-0.121640934,-0.179007697,-0.454326704,-2.05426069,-13.29996782,0.028012398,-0.439042287
2017/12/26,0.498658784,-0.123995014,-5.925028483,5.252580002,-0.021178961,-1.079575389,-0.590326428,-1.422643062,-5.609235384,0.03527939,-0.880299771
